round,client,slot_std
1700,1,0.07301350902401554
1700,2,0.008810043983999176
1700,3,0.00991876378385936
1700,4,0.03626653933035243
1750,0,0.08261408778168527
1750,1,0.08241144868888062
1750,2,0.1012318378772212
1750,3,0.05112809281598523
1750,4,0.03741035952780994
1800,0,0.04587357627218529
1800,1,0.03842072194792804
1800,2,0.03963915362365852
1800,3,0.03297688584448203
1800,4,0.07939719768354547
1850,0,0.008843465101418119
1850,1,0.008729368533863129
1850,2,0.03168193491565817
1850,3,0.032969493475029324
1850,4,0.07963565077903237
1900,0,0.008562271894771857
1900,1,0.11299564150886528
1900,2,0.0517275253129318
1900,3,0.053445112030942564
1900,4,0.14150619244400578
1950,0,0.021277981577207932
1950,1,0.09303104320601807
1950,2,0.005123658360976075
1950,3,0.05536524180386103
1950,4,0.11795042125825578
2000,0,0.025296775980349743
2000,1,0.0739989653643887
2000,2,0.12843454315331213
2000,3,0.04919000787761678
2000,4,0.005616660484665259
2050,0,0.048627898371202516
2050,1,0.01728603121019975
2050,2,0.07017839767335815
2050,3,0.08539778612469998
2050,4,0.023284369757414512
2100,0,0.024305284919128194
2100,1,0.0686180187705824
2100,2,0.06629213754284892
2100,3,0.042777681096571846
2100,4,0.04570456076804589
2150,0,0.00937523333042969
2150,1,0.007074734977368413
2150,2,0.0036121323342314096
2150,3,0.005902965356496675
2150,4,0.03592265128021594
2200,0,0.01295808145521551
2200,1,0.019796653757642967
2200,2,0.07797085994139091
2200,3,0.10392314467913295
2200,4,0.07672132607691293
2250,0,0.07621059637609458
2250,1,0.09658655121185353
2250,2,0.08099361085912889
2250,3,0.012818541258661212
2250,4,0.006801240695637831
2300,0,0.014720457703481907
2300,1,0.03978636701182957
2300,2,0.020550593057135833
2300,3,0.021038714314330152
2300,4,0.24353035745056506
2350,0,0.009320776523444823
2350,1,0.10818743861927779
2350,2,0.05985751832476853
2350,3,0.08851077264943516
2350,4,0.08459912455220799
2400,0,0.10843242999674958
2400,1,0.0421882388824184
2400,2,0.06411095850164775
2400,3,0.042041192597261086
2400,4,0.01648468986666112
2450,0,0.004614853735493666
2450,1,0.03027394713280711
2450,2,0.12034035846298616
2450,3,0.03216729705772618
2450,4,0.07644904757418497
2500,0,0.0552733208700183
2500,1,0.11342333038224545
2500,2,0.030375236624592742
2500,3,0.028174722713808564
2500,4,0.040408190691987186
2550,0,0.1008031342518674
2550,1,0.009582373140302976
2550,2,0.055218809069011984
2550,3,0.06640359082911106
2550,4,0.03283575604428806
2600,0,0.1573727660683385
2600,1,0.016733499335165974
2600,2,0.028413938041038946
2600,3,0.05224578930401953
2600,4,0.02798169044214448
2650,0,0.027480208787416437
2650,1,0.05838134869117021
2650,2,0.008930145575521159
2650,3,0.02068338705338175
2650,4,0.0268783718814961
2700,0,0.01598882422193702
2700,1,0.013797554131076995
2700,2,0.011975260957490661
2700,3,0.020130247763005815
2700,4,0.02581611657472905
2750,0,0.05678107078948052
2750,1,0.04025781756379746
2750,2,0.023551472883877142
2750,3,0.07884914393955081
2750,4,0.015027703583714986
2800,0,0.028852382917187266
2800,1,0.07094048121488887
2800,2,0.009269675021272333
2800,3,0.03568727889598757
2800,4,0.060238914955367505
2850,0,0.032726174539655574
2850,1,0.016066969222600758
2850,2,0.03251902327869028
2850,3,0.04656686053407508
2850,4,0.03404827455246448
2900,0,0.07733311063186325
2900,1,0.04876797104657933
2900,2,0.03706530554305469
2900,3,0.02646765714981211
2900,4,0.02181518966225141
2950,0,0.05060706472420626
2950,1,0.019620190493468706
2950,2,0.06515605785343369
2950,3,0.05288640538928695
2950,4,0.015471990822127578
3000,0,0.020886763152772155
3000,1,0.053538461642075603
3000,2,0.07863397802476994
3000,3,0.14309643601431868
3000,4,0.030757712447449674
3050,0,0.011376510888668812
3050,1,0.05612212130702117
3050,2,0.05402545696243577
3050,3,0.01706888616752715
3050,4,0.022041707624410593
3100,0,0.04215722802794321
3100,1,0.053248145507613684
3100,2,0.0964087651616802
3100,3,0.058979885342377525
3100,4,0.02891490748731527
3150,0,0.060434716843880396
3150,1,0.11848552654227437
3150,2,0.008423887166860662
3150,3,0.02949486184066641
3150,4,0.06509681251797203
3200,0,0.05559655452453866
3200,1,0.018348348018282192
3200,2,0.02064182646957387
3200,3,0.1415068262487715
3200,4,0.0474720180738085
3250,0,0.03518174242416087
3250,1,0.030522860285366438
3250,2,0.009577708494206737
3250,3,0.08683422424367021
3250,4,0.0997871985777735
3300,0,0.14346068058879408
3300,1,0.0674714198753813
3300,2,0.023376537382597953
3300,3,0.03698570669866942
3300,4,0.00752645334802522
3350,0,0.062218727084375494
